faculty_full_name,year_id,num_external_grants
Daniela P. Ladner,2018,
Daniela P. Ladner,2019,
Daniela P. Ladner,2020,
Daniela P. Ladner,2021,
David M. Condon,2012,
David M. Condon,2013,
David M. Condon,2014,
David M. Condon,2015,
David M. Condon,2016,
David M. Condon,2017,
David M. Condon,2018,
David M. Condon,2019,
David M. Condon,2020,
David M. Condon,2021,
David M. Condon,2022,
David T. Liss,2013,
David T. Liss,2014,
David T. Liss,2015,
David T. Liss,2016,
David T. Liss,2017,
David T. Liss,2018,
David T. Liss,2019,
David T. Liss,2020,
David T. Liss,2021,
David T. Liss,2022,
David T. Liss,2023,
Debra E. Weese-Mayer,2010,
Debra E. Weese-Mayer,2011,
Debra E. Weese-Mayer,2012,
Debra E. Weese-Mayer,2013,
Debra E. Weese-Mayer,2014,
Debra E. Weese-Mayer,2015,
Debra E. Weese-Mayer,2016,
Debra E. Weese-Mayer,2017,
Debra E. Weese-Mayer,2018,
Debra E. Weese-Mayer,2019,
Debra E. Weese-Mayer,2020,
Donald Robinson Cantrell,2014,
Donald Robinson Cantrell,2015,
Donald Robinson Cantrell,2016,
Donald Robinson Cantrell,2017,
Donald Robinson Cantrell,2018,
Donald Robinson Cantrell,2019,
Donald Robinson Cantrell,2020,
Donald Robinson Cantrell,2021,
Donald Robinson Cantrell,2022,
Donald Robinson Cantrell,2023,
Donald Robinson Cantrell,2024,
Egon Anderson Ozer,2013,
Egon Anderson Ozer,2014,
Egon Anderson Ozer,2015,
Egon Anderson Ozer,2016,
Egon Anderson Ozer,2017,
Egon Anderson Ozer,2018,
Egon Anderson Ozer,2019,
Egon Anderson Ozer,2020,
Egon Anderson Ozer,2021,
Egon Anderson Ozer,2022,
Egon Anderson Ozer,2023,
Elizabeth A. Hahn,2014,
Elizabeth A. Hahn,2015,
Elizabeth A. Hahn,2016,
Elizabeth A. Hahn,2017,
Elizabeth A. Hahn,2018,
Elizabeth A. Hahn,2019,
Elizabeth A. Hahn,2020,
Elizabeth A. Hahn,2021,
Elizabeth A. Hahn,2022,
Elizabeth A. Hahn,2023,
Elizabeth A. Hahn,2024,
Elizabeth A. Hibler,2014,
Elizabeth A. Hibler,2015,
Elizabeth A. Hibler,2016,
Elizabeth A. Hibler,2017,
Elizabeth A. Hibler,2018,
Elizabeth A. Hibler,2019,
Elizabeth A. Hibler,2020,
Elizabeth A. Hibler,2021,
Elizabeth A. Hibler,2022,
Elizabeth A. Hibler,2023,
Elizabeth A. Hibler,2024,
Erika E. Lawrence,2014,
Erika E. Lawrence,2015,
Erika E. Lawrence,2016,
Erika E. Lawrence,2017,
Erika E. Lawrence,2018,
Erika E. Lawrence,2019,
Erika E. Lawrence,2020,
Erika E. Lawrence,2021,
Erika E. Lawrence,2022,
Erika E. Lawrence,2023,
Erika E. Lawrence,2024,
Guillermo Antonio Ameer,2011,
Guillermo Antonio Ameer,2012,
Guillermo Antonio Ameer,2013,
Guillermo Antonio Ameer,2014,
